sense_transcription_unit_start_site	sense_transcription_unit_end_site	sense_transcription_unit_direction	antisense_transcript_start_site	antisense_transcript_end_site	antisense_transcript_direction	antisense_transcript_end_location_information	antisense_transcript_length(WT_log)
15622	17534	-	16285	16700	+	end_in_gene	415
17544	19032	-	17599	17927	+	end_in_gene	328
19042	23370	-	20790	21253	+	end_in_gene	463
23380	25515	-	24670	25067	+	end_in_gene	397
25758	26921	-	25743	26134	+	end_in_gene	391
39877	41234	-	40251	40655	+	end_in_gene	404
46481	48141	-	47131	47788	+	end_in_gene	657
49037	51782	-	49050	49507	+	end_in_gene	457
49037	51782	-	50565	51000	+	end_in_gene	435
51792	52701	-	51981	52375	+	end_in_gene	394
72229	74565	-	72664	73350	+	end_in_gene	686
72229	74565	-	74186	74477	+	end_in_gene	291
140109	141052	-	139705	140192	+	end_in_gene	487
142152	143874	-	142312	142647	+	end_in_gene	335
159678	160780	-	160274	160666	+	end_in_gene	392
164699	165269	-	164782	165200	+	end_coding_next_gene	418
187437	188862	-	188025	188562	+	end_in_gene	537
210825	212270	-	211323	211710	+	end_in_gene	387
224590	226569	-	224732	225123	+	end_in_gene	391
234485	236507	-	235266	235548	+	end_in_gene	282
244497	247525	-	244635	245036	+	end_in_gene	401
244497	247525	-	247333	247753	+	end_as_asRNA_for_next_TU	420
254676	256070	-	254920	255687	+	end_in_gene	767
266305	268631	-	266541	267017	+	end_in_gene	476
266305	268631	-	267702	268230	+	end_in_gene	528
274288	274904	-	274397	274768	+	end_in_gene	371
279572	287108	-	281533	282191	+	end_in_gene	658
279572	287108	-	284119	284537	+	end_in_gene	418
279572	287108	-	285210	285602	+	end_in_gene	392
298129	301683	-	298918	299221	+	end_in_gene	303
306359	309839	-	307974	308272	+	end_in_gene	298
306359	309839	-	308923	309331	+	end_in_gene	408
310759	314854	-	311317	311711	+	end_in_gene	394
310759	314854	-	312290	312802	+	end_in_gene	512
323291	324525	-	323317	323674	+	end_in_gene	357
328509	329719	-	329103	329424	+	end_in_gene	321
356885	358074	-	357606	358003	+	end_coding_next_gene	397
366152	373788	-	372897	373391	+	end_in_gene	494
403145	405887	-	403787	404173	+	end_in_gene	386
424029	434763	-	427999	428304	+	end_in_gene	305
424029	434763	-	432524	432731	+	end_in_gene	207
434773	436826	-	435060	435491	+	end_in_gene	431
445270	454373	-	447791	448188	+	end_in_gene	397
456207	459317	-	457027	457403	+	end_in_gene	376
456207	459317	-	458918	459301	+	end_in_gene	383
480173	483785	-	482427	482879	+	end_in_gene	452
480173	483785	-	482933	483508	+	end_in_gene	575
495021	499666	-	495557	495939	+	end_in_gene	382
495021	499666	-	498507	498834	+	end_in_gene	327
510335	513215	-	510453	510960	+	end_in_gene	507
510335	513215	-	511702	512119	+	end_in_gene	417
530242	530727	-	530490	530934	+	end_as_asRNA_for_next_TU	444
532924	534400	-	534324	534700	+	end_as_asRNA_for_next_TU	376
535493	538553	-	536568	537057	+	end_in_gene	489
538563	542018	-	540230	540656	+	end_in_gene	426
545240	545829	-	545684	546182	+	end_as_asRNA_for_next_TU	498
548258	549610	-	549113	549485	+	end_in_gene	372
554322	555124	-	554328	554883	+	end_as_asRNA_for_next_TU	555
567909	568970	-	568356	568864	+	end_in_gene	508
581505	584685	-	583577	583907	+	end_in_gene	330
637555	637972	-	637759	638122	+	end_as_asRNA_for_next_TU	363
640874	642814	-	642149	642623	+	end_in_gene	474
655966	658075	-	657041	657449	+	end_in_gene	408
663404	665820	-	665596	666012	+	end_as_asRNA_for_next_TU	416
668453	669748	-	668462	668917	+	end_in_gene	455
678342	679123	-	678588	679123	+	end_coding_next_gene	535
695499	697806	-	695805	696247	+	end_in_gene	442
695499	697806	-	696339	696714	+	end_in_gene	375
697801	699802	-	697821	698277	+	end_in_gene	456
704454	706347	-	704191	704658	+	end_in_gene	467
