operon_seral_number	operon_start_site	operon_end_site	operon_direction	AS_transcript_start	AS_transcript_end	AS_transcript_direction	number_of_cluster_tss_of_AS	AS_3end_information	AS_length
operon_1	1	1618	+	49	345	-	1	end_in_gene	297
operon_1	1	1618	+	917	1267	-	1	end_in_gene	351
operon_1	1	1618	+	1505	1774	-	1	end_in_gene	270
operon_2	1934	3840	+	1958	2309	-	1	end_in_gene	352
operon_2	1934	3840	+	2836	3056	-	1	end_in_gene	221
operon_4	5182	11258	+	7051	7254	-	1	end_in_gene	204
operon_4	5182	11258	+	7813	8208	-	1	end_in_gene	396
operon_5	11257	12367	-	9114	9653	+	1	end_in_gene	540
operon_5	11257	12367	-	9744	10332	+	2	end_in_gene	589
operon_5	11257	12367	-	10839	11535	+	2	end_in_gene	697
operon_4	5182	11258	+	11341	11693	-	1	end_in_gene	353
operon_5	11257	12367	-	12067	12367	+	1	end_coding_next_gene	301
operon_7	13026	14085	-	12486	13092	+	1	end_in_gene	607
operon_8	14066	14904	+	14066	14085	-	1	end_coding_next_gene	20
operon_10	15622	17534	-	14914	15424	+	1	end_in_gene	511
operon_10	15622	17534	-	16285	16701	+	1	end_in_gene	417
operon_11	17544	19032	-	17599	17927	+	1	end_in_gene	329
operon_12	19042	23372	-	19402	20079	+	2	end_in_gene	678
operon_12	19042	23372	-	20469	21204	+	2	end_in_gene	736
operon_13	23382	25517	-	23563	23829	+	1	end_in_gene	267
operon_13	23382	25517	-	23868	24270	+	1	end_in_gene	403
operon_13	23382	25517	-	24670	24985	+	1	end_in_gene	316
operon_13	23382	25517	-	25027	25346	+	1	end_in_gene	320
operon_15	25758	26921	-	25743	26076	+	1	end_in_gene	334
operon_18	29245	31068	+	29752	30185	-	1	end_in_gene	434
operon_19	31078	32047	+	31638	31969	-	1	end_in_gene	332
operon_20	32057	33217	+	32660	33047	-	1	end_in_gene	388
operon_22	33940	35706	+	33458	34152	-	1	end_as_asRNA_for_next_operon	695
operon_21	33227	33891	+	33488	33796	-	1	end_in_gene	309
operon_23	35716	39046	+	37574	37934	-	1	end_in_gene	361
operon_24	38957	39867	-	39301	39692	+	1	end_in_gene	392
operon_25	39877	41234	-	40250	40675	+	1	end_in_gene	426
operon_27	41922	42351	-	41307	41832	+	1	end_in_gene	526
operon_26	41307	41994	+	41725	41905	-	1	end_in_gene	181
operon_30	46481	48143	-	43562	44035	+	2	end_in_gene	474
operon_30	46481	48143	-	44248	44492	+	1	end_in_gene	245
operon_30	46481	48143	-	45660	46374	+	2	end_in_gene	715
operon_29	43672	46569	+	46210	46423	-	1	end_in_gene	214
operon_30	46481	48143	-	47404	47809	+	1	end_in_gene	406
operon_30	46481	48143	-	48121	48457	+	1	end_as_asRNA_for_next_operon	337
operon_32	49039	51784	-	49050	49475	+	1	end_in_gene	426
operon_32	49039	51784	-	50565	51009	+	1	end_in_gene	445
operon_33	51794	52701	-	51815	52394	+	2	end_in_gene	580
operon_34	52809	58104	+	57249	57601	-	1	end_in_gene	353
operon_36	60281	63859	+	63205	63564	-	1	end_in_gene	360
operon_41	72229	74567	-	69432	69793	+	1	end_in_gene	362
operon_40	68417	72261	+	70374	70713	-	1	end_in_gene	340
operon_41	72229	74567	-	70753	70805	+	1	end_in_gene	53
operon_41	72229	74567	-	71603	71967	+	1	end_in_gene	365
operon_41	72229	74567	-	74186	74471	+	1	end_in_gene	286
operon_42	74577	75277	-	74917	75238	+	1	end_in_gene	322
operon_42	74577	75277	-	75252	75277	+	1	end_coding_next_gene	26
operon_44	76219	79312	-	78731	79076	+	1	end_in_gene	346
operon_45	79483	80611	+	79996	80402	-	2	end_in_gene	407
operon_47	85175	85562	-	80621	81157	+	1	end_in_gene	537
operon_46	80621	85170	+	80877	81095	-	1	end_in_gene	219
operon_46	80621	85170	+	81461	81884	-	2	end_in_gene	424
operon_47	85175	85562	-	81619	82271	+	1	end_in_gene	653
operon_47	85175	85562	-	83248	83758	+	1	end_in_gene	511
operon_47	85175	85562	-	84001	84404	+	1	end_in_gene	404
operon_47	85175	85562	-	84560	84829	+	1	end_in_gene	270
operon_47	85175	85562	-	85120	85563	+	2	end_as_asRNA_for_next_operon	444
operon_49	86458	87195	+	86458	86501	-	1	end_coding_next_gene	44
operon_50	87140	88001	-	87654	87789	+	1	end_in_gene	136
operon_51	88163	89524	+	89269	89504	-	1	end_in_gene	236
operon_53	92203	96979	+	96187	96633	-	1	end_in_gene	447
operon_54	96989	99608	+	97058	97321	-	1	end_in_gene	264
operon_56	102875	105212	-	100515	100818	+	1	end_in_gene	304
operon_56	102875	105212	-	101091	101438	+	1	end_in_gene	348
operon_56	102875	105212	-	103772	104527	+	2	end_in_gene	756
operon_58	108294	117701	+	110250	110560	-	1	end_in_gene	311
operon_58	108294	117701	+	111860	112259	-	1	end_in_gene	400
operon_58	108294	117701	+	112614	112892	-	1	end_in_gene	279
operon_58	108294	117701	+	113902	114237	-	1	end_in_gene	336
operon_58	108294	117701	+	117132	117609	-	2	end_in_gene	478
operon_60	119729	123208	-	117711	118198	+	1	end_in_gene	488
operon_60	119729	123208	-	118826	119149	+	1	end_in_gene	324
operon_60	119729	123208	-	119223	119732	+	1	end_in_gene	510
operon_61	122314	123967	+	122769	123228	-	2	end_in_gene	460
operon_62	123901	124312	-	123479	123933	+	2	end_in_gene	455
operon_64	125577	131127	-	124796	125123	+	1	end_in_gene	328
operon_63	124335	125630	+	125410	125604	-	1	end_in_gene	195
operon_64	125577	131127	-	126789	127118	+	1	end_in_gene	330
operon_67	133844	136132	+	134079	134379	-	1	end_in_gene	301
operon_67	133844	136132	+	134694	134978	-	1	end_in_gene	285
operon_67	133844	136132	+	135185	135466	-	1	end_in_gene	282
operon_68	136142	140255	+	137368	137691	-	1	end_in_gene	324
operon_69	140109	141054	-	138878	139094	+	1	end_in_gene	217
operon_69	140109	141054	-	139705	140108	+	1	end_in_gene	404
operon_69	140109	141054	-	140958	141054	+	2	end_coding_next_gene	97
operon_71	142152	143876	-	141728	142072	+	1	end_in_gene	345
operon_71	142152	143876	-	142178	142635	+	2	end_in_gene	458
operon_75	148489	151073	+	149146	149536	-	1	end_in_gene	391
operon_76	151083	154693	+	150817	151128	-	1	end_as_asRNA_for_next_operon	312
operon_76	151083	154693	+	151158	151473	-	1	end_in_gene	316
operon_76	151083	154693	+	153735	154064	-	1	end_in_gene	330
operon_76	151083	154693	+	154124	154378	-	1	end_in_gene	255
operon_78	156454	157655	-	155739	156684	+	1	end_in_gene	946
operon_81	159680	160780	-	160274	160691	+	1	end_in_gene	418
operon_85	163305	164700	+	163305	163314	-	1	end_coding_next_gene	10
operon_85	163305	164700	+	163465	163517	-	1	end_in_gene	53
operon_86	164699	165269	-	163535	163968	+	1	end_in_gene	434
operon_86	164699	165269	-	164015	164317	+	1	end_in_gene	303
operon_86	164699	165269	-	164782	165269	+	1	end_coding_next_gene	488
operon_87	165292	166898	+	166343	166661	-	1	end_in_gene	319
operon_89	167298	167684	-	166908	167449	+	1	end_in_gene	542
operon_90	167570	168692	+	167570	167684	-	1	end_coding_next_gene	115
operon_92	169304	171203	+	169304	169343	-	1	end_coding_next_gene	40
operon_92	169304	171203	+	169602	170550	-	1	end_in_gene	949
operon_95	176676	177596	-	175371	176019	+	1	end_in_gene	649
operon_95	176676	177596	-	176319	177151	+	2	end_in_gene	833
operon_96	177211	183208	-	177732	178133	+	1	end_in_gene	402
operon_96	177211	183208	-	178183	178235	+	1	end_in_gene	53
operon_96	177211	183208	-	178878	179094	+	1	end_in_gene	217
operon_96	177211	183208	-	179123	179291	+	1	end_in_gene	169
operon_96	177211	183208	-	180463	180843	+	2	end_in_gene	381
operon_96	177211	183208	-	180855	180978	+	1	end_in_gene	124
operon_97	183579	186483	+	184587	185076	-	1	end_in_gene	490
operon_98	186487	186650	-	185331	185828	+	2	end_in_gene	498
operon_98	186487	186650	-	186081	186558	+	1	end_in_gene	478
operon_100	187437	188862	-	187509	187919	+	1	end_in_gene	411
operon_100	187437	188862	-	187968	188574	+	2	end_in_gene	607
operon_101	188872	190437	-	190137	190437	+	1	end_coding_next_gene	301
operon_103	191964	193356	-	190605	190657	+	1	end_in_gene	53
operon_104	193115	193659	+	193115	193356	-	1	end_coding_next_gene	242
operon_106	194119	194918	-	193669	194296	+	1	end_in_gene	628
operon_107	194916	196723	+	194916	194918	-	1	end_coding_next_gene	3
operon_107	194916	196723	+	195513	195879	-	1	end_in_gene	367
operon_107	194916	196723	+	195999	196284	-	2	end_in_gene	286
operon_108	196733	206637	+	196505	197083	-	1	end_as_asRNA_for_next_operon	579
operon_108	196733	206637	+	199143	199503	-	1	end_in_gene	361
operon_108	196733	206637	+	200623	201025	-	1	end_in_gene	403
operon_108	196733	206637	+	201302	201674	-	1	end_in_gene	373
operon_108	196733	206637	+	202826	203047	-	2	end_in_gene	222
operon_108	196733	206637	+	204368	204679	-	1	end_in_gene	312
operon_108	196733	206637	+	206081	206610	-	1	end_in_gene	530
operon_111	209680	210815	-	208615	209202	+	2	end_in_gene	588
operon_110	208326	209691	+	209104	209440	-	1	end_in_gene	337
operon_112	210825	212270	-	211323	211686	+	1	end_in_gene	364
operon_113	212280	214138	-	214085	214557	+	1	end_as_asRNA_for_next_operon	473
operon_114	214085	214957	+	214156	214578	-	1	end_in_gene	423
operon_116	218352	218612	-	214967	215616	+	1	end_in_gene	650
operon_116	218352	218612	-	216027	216513	+	2	end_in_gene	487
operon_116	218352	218612	-	216679	217248	+	1	end_in_gene	570
operon_115	214967	218378	+	216975	217115	-	1	end_in_gene	141
operon_116	218352	218612	-	217436	217673	+	1	end_in_gene	238
operon_116	218352	218612	-	218013	218388	+	1	end_in_gene	376
operon_118	219426	219984	+	219279	219902	-	2	end_as_asRNA_for_next_operon	624
operon_120	221817	223568	+	221930	222390	-	1	end_in_gene	461
operon_120	221817	223568	+	222602	222928	-	1	end_in_gene	327
operon_122	224590	226569	-	223578	223949	+	1	end_in_gene	372
operon_121	223578	224712	+	224085	224415	-	1	end_in_gene	331
operon_122	224590	226569	-	224146	224522	+	1	end_in_gene	377
operon_122	224590	226569	-	224732	225047	+	1	end_in_gene	316
operon_123	226876	234502	+	227915	228184	-	1	end_in_gene	270
operon_123	226876	234502	+	229288	229715	-	2	end_in_gene	428
operon_123	226876	234502	+	230108	230441	-	1	end_in_gene	334
operon_123	226876	234502	+	230864	231273	-	1	end_in_gene	410
operon_124	234485	236507	-	231600	232008	+	1	end_in_gene	409
operon_124	234485	236507	-	233864	234256	+	1	end_in_gene	393
operon_124	234485	236507	-	235113	235510	+	2	end_in_gene	398
operon_126	237905	238899	-	236550	237293	+	1	end_in_gene	744
operon_126	237905	238899	-	237725	237871	+	1	end_in_gene	147
operon_131	244497	247526	-	243384	243757	+	1	end_in_gene	374
operon_131	244497	247526	-	244634	245044	+	1	end_in_gene	411
operon_131	244497	247526	-	247283	247714	+	2	end_as_asRNA_for_next_operon	432
operon_134	249630	251666	+	251341	251618	-	1	end_in_gene	278
operon_136	253612	254666	-	253207	253688	+	1	end_in_gene	482
operon_136	253612	254666	-	253884	254038	+	1	end_in_gene	155
operon_137	254676	256071	-	254857	255665	+	2	end_in_gene	809
operon_138	256064	257773	+	256064	256071	-	1	end_coding_next_gene	8
operon_139	257687	258885	-	256160	256480	+	1	end_in_gene	321
operon_138	256064	257773	+	257520	257576	-	1	end_in_gene	57
operon_141	259936	261423	-	258913	259345	+	1	end_in_gene	433
operon_141	259936	261423	-	259487	259737	+	1	end_in_gene	251
operon_142	260924	261473	+	261097	261423	-	1	end_in_gene	327
operon_145	266305	268631	-	262812	263297	+	1	end_in_gene	486
operon_145	266305	268631	-	265565	265620	+	1	end_in_gene	56
operon_145	266305	268631	-	266541	266966	+	1	end_in_gene	426
operon_145	266305	268631	-	267702	268092	+	1	end_in_gene	391
operon_149	274288	274906	-	273121	273684	+	1	end_in_gene	564
operon_149	274288	274906	-	273954	274267	+	1	end_in_gene	314
operon_149	274288	274906	-	274397	274671	+	1	end_in_gene	275
operon_150	274916	275964	-	274927	275525	+	2	end_in_gene	599
operon_151	276025	277866	+	277109	277516	-	2	end_in_gene	408
operon_152	277876	279591	+	278470	278754	-	1	end_in_gene	285
operon_153	279572	287110	-	280997	281247	+	1	end_in_gene	251
