TR_name	start_site	direction	TR_type	End_of_primary_data	actual_end_of_primary_data	min_of_primary_data	max_of_primary_data	End_of_total_data	actual_End_of_total_data	min_of_total_data	max_of_total_data
TR_114	1	+	in_gene_sense	1524	882	517	1098	1524	1597	1579	1604
TR_1267	1267	-	antisense_in_gene	926	921	751	997	944	808	633	954
TR_1934	1934	+	upstream_sense	3260	2853	2613	3213	4437	3539	3381	3649
TR_2305	2305	-	antisense_in_gene	1856	1926	1866	1960	1702	1393	1287	1712
TR_3056	3056	-	antisense_in_gene	2746	2767	2692	2809	2528	2711	2538	2905
TR_3834	3834	+	in_gene_sense	4645	4880	4561	5163	5173	5163	5163	5163
TR_5183	5183	+	upstream_sense	7267	6098	5901	6225	9818	8604	7908	9173
TR_7254	7254	-	antisense_in_gene	7042	7061	7018	7090	7084	7050	6952	7122
TR_8207	8207	-	antisense_in_gene	7731	7774	7741	7810	7738	7630	7521	7748
TR_9114	9114	+	sense_for_next	10828	10673	10480	11059	11188	11178	11178	11178
TR_12067	12067	+	antisense_in_gene	12412	12397	12336	12424	12356	12396	12315	12466
TR_12486	12486	+	leaderless_sense	13328	13242	13136	13318	13362	13415	13352	13482
TR_12887	12887	-	antisense_in_gene	11822	12198	11824	12384	11812	11598	11363	11823
TR_14066	14066	+	upstream_sense	14904	14867	14766	14894	14904	15519	14894	16181
TR_14085	14085	-	upstream_sense	13133	13564	13475	13650	13133	13083	12975	13359
TR_14914	14914	+	leaderless_sense	15667	15629	15497	15694	15735	15924	15725	16123
TR_16285	16285	+	antisense_in_gene	16753	16754	16691	16808	16845	16848	16747	16939
TR_17534	17534	-	sense_for_next	15590	17180	16875	17294	15373	15273	15050	15426
TR_17599	17599	+	antisense_in_gene	17933	17922	17920	17927	17929	17931	17919	17959
TR_19032	19032	-	sense_for_next	17467	18484	18436	18543	17467	18252	18107	18421
TR_19402	19402	+	antisense_in_gene	20240	20182	20064	20289	20274	20381	20264	20439
TR_19826	19826	-	in_gene_sense	19528	19529	19440	19583	19042	19052	19052	19052
TR_20788	20788	+	antisense_in_gene	21633	21371	21211	21623	21653	21749	21620	21961
TR_21401	21401	-	in_gene_sense	21046	21068	21038	21099	19042	19286	19052	19990
TR_22568	22568	-	in_gene_sense	21911	22034	21886	22258	21887	21893	21860	21922
TR_23371	23371	-	sense_for_next	21637	22847	22761	23107	0	0	0	0
TR_23868	23868	+	antisense_in_gene	24312	24316	24302	24332	24274	24390	24238	24540
TR_24270	24270	-	sense_for_next	23270	23781	23528	24144	0	0	0	0
TR_24670	24670	+	antisense_in_gene	25131	25122	25053	25284	25137	25168	25089	25251
TR_25515	25515	-	upstream_sense	23861	24595	24472	24665	21637	22781	22524	22882
TR_25628	25628	+	upstream_sense	26162	26175	26110	26266	26186	26222	26176	26285
TR_25719	25719	-	antisense_in_gene	25525	25535	25535	25535	25525	25535	25535	25535
TR_26181	26181	-	antisense_for_next	25776	25790	25769	25804	25764	25767	25747	25777
TR_26921	26921	-	upstream_sense	25913	26345	26274	26474	25913	26237	26201	26345
TR_27579	27579	+	upstream_sense	29207	28383	28313	28493	31068	30632	30165	31058
TR_29245	29245	+	leaderless_sense	31068	30160	30083	30265	0	0	0	0
TR_30183	30183	-	antisense_in_gene	29755	29768	29754	29791	29708	29628	29503	29718
TR_31078	31078	+	upstream_sense	31909	31824	31700	31899	32047	32028	32001	32037
TR_31967	31967	-	down_stream_antisense	31623	31630	31601	31644	31588	31559	31524	31598
TR_32057	32057	+	leaderless_sense	33154	32765	32549	32962	33154	33090	32742	33207
TR_33047	33047	-	antisense_in_gene	32687	32685	32649	32697	32668	32677	32645	32712
TR_33227	33227	+	leaderless_sense	33794	33716	33647	33770	33794	33739	33734	33752
TR_33792	33792	-	antisense_in_gene	33464	33480	33468	33489	33440	33450	33450	33450
TR_34152	34152	-	down_stream_antisense	33802	33775	33592	33812	33582	33648	33592	33819
TR_35716	35716	+	sense_for_next	36610	36186	36156	36241	36610	37060	36236	39282
TR_37955	37955	-	antisense_in_gene	37521	37553	37510	37586	37567	37462	37324	37577
TR_39302	39302	+	antisense_in_gene	39788	39763	39695	39858	39706	39847	39696	40138
TR_39867	39867	-	upstream_sense	38994	39181	38970	39349	38737	38697	38634	38747
TR_40250	40250	+	antisense_in_gene	40755	40741	40704	40775	40699	40778	40689	40850
TR_41232	41232	-	upstream_sense	39877	40744	40680	40824	39877	40296	39887	40618
TR_41307	41307	+	leaderless_sense	42056	42006	41891	42055	42012	42063	42002	42116
TR_42351	42351	-	leaderless_sense	41808	41843	41818	41864	41757	41793	41767	41819
TR_42840	42840	-	sense_for_next	42373	42377	42371	42392	42361	42371	42371	42371
TR_43409	43409	-	upstream_sense	42433	42954	42900	43007	42433	42380	41811	42940
TR_43562	43562	+	leaderless_sense	46471	44067	43652	44177	46471	46467	45640	46812
TR_43622	43622	-	antisense_in_gene	43419	43429	43429	43429	43419	43429	43429	43429
TR_45647	45647	-	antisense_in_gene	45300	45310	45284	45354	45332	45323	45274	45354
TR_45660	45660	+	antisense_for_next	46509	46430	46279	46518	46558	46548	46548	46548
TR_47084	47084	-	in_gene_sense	46543	46571	46547	46625	46367	46243	46181	46377
TR_47404	47404	+	antisense_in_gene	47811	47809	47801	47848	47812	47830	47802	47847
TR_48141	48141	-	upstream_sense	47332	47482	47342	47572	0	0	0	0
TR_49027	49027	-	leaderless_sense	48173	48118	47825	48446	47366	47264	47104	47600
TR_49050	49050	+	antisense_in_gene	49540	49522	49482	49558	49432	49538	49422	49655
TR_50010	50010	-	upstream_sense	49043	49540	49449	49592	0	0	0	0
TR_50564	50564	+	antisense_in_gene	51112	51099	51058	51118	51035	51110	51025	51169
TR_50792	50792	-	in_gene_sense	50020	49961	49620	50030	49635	49636	49628	49645
TR_51782	51782	-	upstream_sense	51185	51249	51201	51302	50021	50408	49624	51199
TR_51981	51981	+	antisense_in_gene	52441	52466	52431	52538	52453	52529	52443	52623
TR_52697	52697	-	leaderless_sense	51828	52166	52124	52253	51828	51906	51802	52032
TR_52810	52810	+	upstream_sense	53418	53392	53332	53458	55696	56161	55491	56772
TR_56832	56832	+	sense_for_next	57375	57260	57222	57268	57998	58067	57988	58094
TR_57288	57288	+	sense_for_next	58104	57938	57747	58094	0	0	0	0
TR_57601	57601	-	antisense_in_gene	57248	57239	57213	57261	57283	57236	56882	57472
TR_58114	58114	+	upstream_sense	59077	59044	58868	59170	60414	60200	59979	60685
TR_60080	60080	+	in_gene_sense	60272	60377	60262	60895	63115	63128	63105	63151
TR_60282	60282	+	sense_for_next	63017	60794	60763	60823	0	0	0	0
TR_63562	63562	-	antisense_in_gene	63187	63208	63180	63222	63191	63176	63122	63207
TR_63869	63869	+	sense_for_next	64970	64822	64610	65015	65131	65226	65121	65279
TR_65535	65535	-	upstream_sense	64850	64897	64860	64940	64853	64850	64834	64863
TR_65675	65675	+	in_gene_sense	66450	66503	66294	66727	66823	68001	66813	68397
TR_66838	66838	+	upstream_sense	68359	67451	67397	67560	68359	67381	67381	67381
TR_67725	67725	+	sense_for_next	68359	68090	68043	68224	68407	68397	68397	68397
TR_68417	68417	+	upstream_sense	71556	68986	68890	69060	71556	70102	69755	70521
TR_69432	69432	+	in_gene_sense	69881	69952	69839	70079	0	0	0	0
TR_71605	71605	+	leaderless_sense	72219	72014	71969	72105	72256	72326	72246	72398
TR_72955	72955	+	antisense_in_gene	73878	73613	73184	73868	73072	73421	73062	73682
TR_73408	73408	-	in_gene_sense	72203	72535	72079	73059	71998	72013	72008	72019
TR_74186	74186	+	antisense_in_gene	74522	74521	74494	74577	74493	74538	74483	74612
TR_74566	74566	-	upstream_sense	72271	73920	73814	74015	72271	72803	72001	73764
TR_74918	74918	+	antisense_in_gene	76572	76189	75234	76571	74928	75524	74918	76791
TR_75272	75272	-	upstream_sense	74576	74638	74586	74730	74626	74639	74586	74743
TR_78731	78731	+	antisense_in_gene	79350	79396	79085	79861	79091	79147	78973	79440
TR_79310	79310	-	upstream_sense	78932	78952	78906	78981	78972	78824	78627	78982
TR_80237	80237	+	upstream_sense	80611	80601	80601	80601	80611	80601	80601	80601
TR_80412	80412	-	down_stream_antisense	79962	80000	79972	80025	80047	79993	79933	80057
TR_80621	80621	+	leaderless_sense	81670	81388	81188	81721	83980	84190	83673	84611
TR_81882	81882	-	antisense_in_gene	81491	81496	81464	81519	81489	81472	81365	81524
TR_83248	83248	+	in_gene_sense	83822	83921	83812	83964	0	0	0	0
TR_84002	84002	+	leaderless_sense	85165	84466	84417	84539	85676	85759	85666	85852
TR_84559	84559	+	in_gene_sense	85110	85053	84883	85100	0	0	0	0
TR_85120	85120	+	antisense_for_next	85716	85670	85622	85706	85864	85754	85654	85854
TR_85560	85560	-	leaderless_sense	84860	84987	84870	85115	85034	84852	84753	85044
TR_86459	86459	+	antisense_in_gene	87228	87297	87008	87926	87207	87343	87197	87521
TR_86500	86500	-	upstream_sense	85633	86025	85970	86076	85633	85708	85580	86093
TR_88001	88001	-	leaderless_sense	87205	87519	87457	87558	87205	87348	87206	87517
TR_88164	88164	+	upstream_sense	89022	88700	88645	88743	89022	89625	88767	90730
TR_89155	89155	-	antisense_in_gene	88803	88821	88761	88891	88851	88827	88714	88906
TR_89504	89504	-	down_stream_antisense	89203	89228	89206	89285	89257	89196	89029	89267
TR_89534	89534	+	upstream_sense	90400	90133	90065	90239	92319	91179	91115	91300
TR_92203	92203	+	sense_for_next	93275	92600	92587	92638	93948	94718	93248	96193
TR_94547	94547	+	in_gene_sense	95005	94972	94924	95011	96109	96077	96055	96099
TR_96632	96632	-	antisense_in_gene	96147	96138	96064	96189	96165	96150	96020	96385
TR_96978	96978	+	in_gene_sense	97975	97854	97715	97971	98003	98203	97993	98676
TR_97321	97321	-	antisense_in_gene	97060	97062	97035	97122	97138	97176	97128	97254
TR_99371	99371	+	upstream_sense	99609	99747	99599	100062	99609	99766	99371	100495
TR_99619	99619	+	upstream_sense	100448	100096	100077	100122	100480	101361	100443	103170
TR_100515	100515	+	upstream_sense	102865	101008	100865	101073	103111	103137	103101	103196
TR_101093	101093	+	in_gene_sense	101445	101454	101391	101518	0	0	0	0
TR_103522	103522	-	in_gene_sense	102745	102855	102755	102954	102476	102462	102379	102528
TR_106951	106951	+	in_gene_sense	107635	107520	107259	107659	107222	107769	107212	108273
TR_108293	108293	+	in_gene_sense	108686	108678	108670	108691	108700	110536	108690	112283
TR_110203	110203	+	in_gene_sense	110834	110617	110380	110824	110277	110465	110267	110664
TR_110560	110560	-	antisense_in_gene	110238	110251	110243	110258	110246	110233	110199	110260
TR_112259	112259	-	antisense_in_gene	111791	111831	111801	111851	111803	111731	111591	111813
TR_112892	112892	-	antisense_in_gene	112596	112614	112605	112638	112613	112591	112547	112623
TR_114237	114237	-	antisense_in_gene	113899	113833	113685	113910	114017	113972	113917	114027
TR_115470	115470	+	sense_for_next	117536	115831	115740	115895	117536	116784	115883	117691
TR_117608	117608	-	down_stream_antisense	117082	117178	117062	117523	117124	116981	116913	117134
TR_117711	117711	+	leaderless_sense	119696	118444	118282	118550	119696	119909	119129	120735
TR_118826	118826	+	antisense_for_next	119212	119189	119152	119202	0	0	0	0
TR_119222	119222	+	antisense_for_next	119777	119986	119687	120763	120009	119999	119999	119999
TR_120296	120296	-	antisense_for_next	119835	119907	119839	119975	119768	119782	119778	119786
TR_122196	122196	-	upstream_sense	119912	121687	121599	121729	119912	120721	119841	121637
TR_123228	123228	-	antisense_in_gene	122729	122738	122707	122772	122771	122736	122687	122781
TR_123480	123480	+	antisense_for_next	123974	123948	123884	124015	123889	123941	123850	124104
TR_124336	124336	+	upstream_sense	125567	125267	125167	125421	125567	125828	124764	126230
TR_125604	125604	-	down_stream_antisense	125226	125262	125190	125309	125286	125319	125289	125348
TR_130564	130564	-	upstream_sense	125640	130244	130177	130295	125640	130210	130181	130240
TR_131125	131125	-	upstream_sense	130578	130642	130588	130683	130585	130503	130393	130596
TR_131338	131338	+	upstream_sense	132870	131801	131725	131962	132870	131987	131696	132317
TR_132913	132913	+	upstream_sense	133767	133491	133380	133568	133833	133805	133752	133823
TR_133843	133843	+	upstream_sense	136005	134281	134274	134298	136005	135189	134254	136121
TR_134379	134379	-	antisense_in_gene	133958	134032	133968	134066	134245	134033	133857	134255
TR_134978	134978	-	antisense_in_gene	134679	134693	134648	134754	134774	134713	134531	134824
TR_135463	135463	-	antisense_in_gene	135186	135191	135166	135197	135191	135293	135201	135385
TR_136141	136141	+	upstream_sense	137907	137475	136896	137737	138511	139060	138166	139685
TR_137691	137691	-	antisense_in_gene	137357	137376	137367	137387	137358	137337	137297	137368
TR_139705	139705	+	down_stream_antisense	140207	140243	140186	140361	140163	140295	140153	140511
TR_141052	141052	-	upstream_sense	140265	140568	140550	140586	140265	140417	140264	140548
TR_141054	141054	+	upstream_sense	142142	141549	141511	141628	142142	141878	141570	142158
TR_142178	142178	+	antisense_in_gene	142671	142656	142641	142662	142618	142645	142567	142735
TR_143874	143874	-	leaderless_sense	142126	143110	142884	143497	142126	142248	141761	143663
TR_143892	143892	+	upstream_sense	145624	144306	143984	144653	145715	144391	143892	145705
TR_146301	146301	-	antisense_for_next	145752	145778	145733	145807	145498	145508	145508	145508
TR_147823	147823	-	upstream_sense	145625	147191	147129	147267	145625	145583	145201	146321
TR_148340	148340	-	leaderless_sense	147897	147917	147879	147991	147835	147843	147843	147845
TR_148633	148633	+	in_gene_sense	149797	149879	149787	149978	149842	149819	149664	149917
TR_149536	149536	-	antisense_in_gene	149103	149136	149113	149150	149130	149055	148981	149140
TR_151073	151073	+	upstream_sense	152213	152035	151784	152205	154127	153924	152723	155063
TR_151128	151128	-	down_stream_antisense	150825	150820	150792	150851	150843	150851	150823	150885
TR_151473	151473	-	antisense_in_gene	151138	151162	151148	151221	151216	151216	151207	151226
