TU_name	TU_start_site	TU_end_site	Length	TU_Direction	Coding_start	Coding_end	Include_essential_gene_or_not	Included_gene_number	leaderless_gene_check	included_genes	TSS_peak	TSS_extention_end	elongation_check_start_site	elongation_check_end_site	elongation_check_length	Selected_for_coding_TU_or_not
TU_1	1	1618	1617	+	1	1524	ES	non_leaderless	1	RVBD_0001	1	251	699	1524	826	selected
TU_2	1935	3840	1905	+	2052	4437	ES	non_leaderless	2	RVBD_0002:RVBD_0003	1935	2185	2368	3824	1457	selected
TU_3	3850	5178	1328	+	4434	4997	NS	non_leaderless	1	RVBD_0004	3850	4089	4220	4997	778	selected
TU_4	5183	11258	6075	+	5240	11187	ES	non_leaderless	5	RVBD_0005:RVBD_0006:RVBD_0007:RVBD_6000:RVBD_6001	5183	5433	5707	11187	5481	selected
TU_5	11257	12366	1109	-	11874	12311	NS	non_leaderless	1	RVBD_0008c	12366	11955	11954	11257	698	selected
TU_6	12486	13123	637	+	12468	13016	NS	non_leaderless	1	RVBD_0009	12486	12791	12943	13123	181	no
TU_7	13026	14085	1059	-	13133	13995	NS	non_leaderless	2	RVBD_0010c:RVBD_0011c	14085	13701	13700	13133	568	selected
TU_8	14067	14904	837	+	14089	14877	NS	leaderless_TSS	1	RVBD_0012	14067	14317	14562	14877	316	selected
TU_9	14914	15580	666	+	14914	15612	ES	leaderless_TSS	1	RVBD_0013	14914	15189	15302	15612	311	no
TU_10	15622	17534	1912	-	15590	17470	ES	non_leaderless	1	RVBD_0014c	17534	17285	17284	15590	1695	selected
TU_11	17544	19032	1488	-	17467	18762	ES	non_leaderless	1	RVBD_0015c	19032	18616	18615	17544	1072	selected
TU_12	19042	23370	4328	-	18759	23181	ES	non_leaderless	3	RVBD_0016c:RVBD_0017c:RVBD_0018c	23370	22908	22907	21416	1492	selected
TU_13	23380	25515	2135	-	23270	25444	ES	non_leaderless	2	RVBD_0019c:RVBD_0020c	25515	25030	25029	23380	1650	selected
TU_14	25628	25738	110	+	25644	25729	NS	non_leaderless	1	RVBD_6002	25743	25927	25928	25738	-189	no
TU_15	25758	26921	1163	-	25913	26881	NS	non_leaderless	1	RVBD_0021c	26921	26548	26547	26191	357	selected
TU_16	26931	27442	511	-	27023	27442	NS	non_leaderless	1	RVBD_0022c	27442	26997	26996	26931	66	no
TU_17	27579	29235	1656	+	27595	29207	ES	non_leaderless	2	RVBD_0023:RVBD_0024	27579	27750	27951	29207	1257	selected
TU_18	29245	31073	1828	+	29245	31068	NS	leaderless_TSS	2	RVBD_0025:RVBD_0026	29245	29507	29919	31068	1150	selected
TU_19	31078	32047	969	+	31189	31819	NS	non_leaderless	2	RVBD_0027:RVBD_0028	31078	31312	31627	31819	193	selected
TU_20	32057	33217	1160	+	32057	33154	NS	leaderless_TSS	1	RVBD_0029	32057	32345	32419	33154	736	selected
TU_21	33227	33891	664	+	33224	33794	NS	leaderless_TSS	2	RVBD_0030:RVBD_0031	33227	33460	33598	33794	197	no
TU_22	33940	35706	1766	+	34295	36610	NS	non_leaderless	1	RVBD_0032	33940	34197	34333	35706	1374	selected
TU_23	35716	39046	3330	+	36607	38947	NS	non_leaderless	3	RVBD_0033:RVBD_0034:RVBD_0035	35716	35975	36108	38947	2840	selected
TU_24	38957	39867	910	-	39056	39829	NS	non_leaderless	1	RVBD_0036c	39867	39494	39493	39056	438	selected
TU_25	39877	41234	1357	-	39877	41202	NS	non_leaderless	1	RVBD_0037c	41234	40896	40895	39877	1019	selected
TU_26	41307	41994	687	+	41304	41912	NS	leaderless_TSS	1	RVBD_0038	41307	41648	41775	41912	138	no
TU_27	41922	42351	429	-	42004	42351	NS	leaderless_TSS	1	RVBD_0039c	42351	42017	42016	41922	95	no
TU_28	42361	43413	1052	-	42433	43365	NS	non_leaderless	1	RVBD_0040c	43413	43081	43080	42433	648	selected
TU_29	43562	46569	3007	+	43562	46471	ES	leaderless_TSS	1	RVBD_0041	43672	43951	44012	45650	1639	selected
TU_30	46481	48141	1660	-	46581	48100	NS	non_leaderless	2	RVBD_0042c:RVBD_0043c	48141	47693	47692	47094	599	selected
TU_31	48151	49027	876	-	48233	49027	NS	leaderless_TSS	1	RVBD_0044c	49027	48597	48596	48233	364	selected
TU_32	49037	51782	2745	-	49043	51727	ES	non_leaderless	3	RVBD_0045c:RVBD_0046c:RVBD_0047c	51782	51338	51337	49043	2295	selected
TU_33	51792	52701	909	-	51828	52697	NS	non_leaderless	1	RVBD_0048c	52701	52294	52293	51828	466	selected
TU_34	52810	58109	5299	+	52831	57970	NS	non_leaderless	4	RVBD_0049:RVBD_0050:RVBD_0051:RVBD_0052	52810	53060	53230	57970	4741	selected
TU_35	58114	60272	2158	+	58189	60414	ES	non_leaderless	5	RVBD_0053:RVBD_0054:RVBD_0055:RVBD_0056:RVBD_0057	58114	58405	58612	60272	1661	selected
TU_36	60282	63891	3609	+	60393	63889	ES	non_leaderless	2	RVBD_0058:RVBD_0059	60282	60532	60656	63859	3204	selected
TU_37	63869	64999	1130	+	63906	64964	ES	non_leaderless	1	RVBD_0060	63869	64119	64369	64964	596	selected
TU_38	64974	65539	565	-	65009	65347	NS	non_leaderless	1	RVBD_0061c	65539	65127	65126	65009	118	no
TU_39	65549	68412	2863	+	65549	68359	NS	non_leaderless	2	RVBD_0062:RVBD_0063	65675	65970	66115	68359	2245	selected
TU_40	68417	72261	3844	+	68617	72219	NS	non_leaderless	3	RVBD_0064:RVBD_0064A:RVBD_0065	68417	68650	68776	72219	3444	selected
TU_41	72229	74565	2336	-	72271	74508	NS	non_leaderless	1	RVBD_0066c	74565	74047	74046	72271	1776	selected
TU_42	74575	75277	702	-	74626	75195	NS	non_leaderless	1	RVBD_0067c	75277	74866	74865	74626	240	selected
TU_43	75298	76224	926	+	75298	76209	NS	non_leaderless	1	RVBD_0068	75252	75502	75820	76209	390	selected
TU_44	76219	79310	3091	-	76234	78893	NS	non_leaderless	2	RVBD_0069c:RVBD_0070c	79310	79001	79000	76234	2767	selected
