new_tss	direction	original_average_count
537	+	40
1794	+	24
1935	+	404
3034	+	34
3396	+	28
3834	+	83
3850	+	146
4735	+	28
5183	+	1442
9114	+	111
9744	+	35
9786	+	68
10839	+	28
10871	+	48
11217	+	25
12067	+	48
12486	+	1532
14067	+	338
14092	+	179
14914	+	261
16177	+	28
16285	+	146
17599	+	56
18017	+	29
19402	+	77
19431	+	37
20469	+	37
20620	+	12
20790	+	77
21365	+	16
22892	+	31
23563	+	29
23868	+	107
24670	+	262
25027	+	46
25628	+	537
25743	+	622
27579	+	89
28015	+	45
29120	+	23
29215	+	27
29245	+	139
29632	+	112
31078	+	218
32057	+	218
33227	+	296
33940	+	51
35716	+	79
39302	+	68
40251	+	103
41307	+	720
43562	+	162
43672	+	232
44248	+	12
45660	+	84
45743	+	59
47109	+	35
47131	+	101
47404	+	62
48098	+	36
48121	+	27
49050	+	57
50044	+	23
50565	+	5121
51622	+	40
51815	+	42
51981	+	1105
52810	+	834
54651	+	51
54697	+	60
56832	+	44
57288	+	44
58114	+	3131
60080	+	43
60133	+	103
60282	+	434
63869	+	203
63896	+	101
65675	+	356
66838	+	137
67724	+	48
68417	+	776
69432	+	181
70753	+	33
71603	+	47
72664	+	40
72955	+	42
74186	+	418
74917	+	50
75252	+	80
78089	+	24
78731	+	43
80237	+	338
80621	+	342
81619	+	31
82014	+	36
83248	+	100
84002	+	100
84560	+	42
85120	+	57
85187	+	135
86459	+	93
87318	+	27
87654	+	15
88010	+	19
88164	+	3264
89535	+	390
90949	+	39
92203	+	507
92825	+	34
94547	+	103
95419	+	81
96665	+	20
96978	+	213
98433	+	24
99371	+	47
99619	+	101
100515	+	48
101091	+	56
103772	+	34
103806	+	34
105264	+	31
105917	+	28
106951	+	38
107804	+	72
108294	+	227
109042	+	28
109829	+	23
110203	+	26
111022	+	22
113405	+	61
114044	+	25
114433	+	13
114594	+	45
115470	+	49
117628	+	27
117711	+	265
118826	+	55
119223	+	141
120938	+	18
122314	+	36
123479	+	47
123622	+	56
124336	+	463
124796	+	37
126789	+	24
127484	+	14
127862	+	29
128541	+	19
131338	+	65
132753	+	25
132913	+	135
133843	+	188
135980	+	32
136141	+	137
138878	+	31
139705	+	2020
140958	+	41
141054	+	48
141170	+	54
141728	+	48
142178	+	57
142312	+	61
143892	+	57
144005	+	77
148633	+	43
148908	+	37
149461	+	29
151073	+	285
152321	+	107
154601	+	40
154703	+	222
