TU_name	TU_start_site	TU_end_site	Length	TU_Direction	Coding_start	Coding_end	Include_essential_gene_or_not	Included_gene_number	leaderless_gene_check	included_genes	TSS_peak	TSS_extention_end	elongation_check_start_site	elongation_check_end_site	elongation_check_length	Selected_for_coding_TU_or_not	initial_expression	elongation_ratio(PF)
TU_1	1	1618	1617	+	1	1524	ES	non_leaderless	1	RVBD_0001	1	251	699	1524	826	selected	44.34	1.4
TU_2	1935	3840	1905	+	2052	4437	ES	non_leaderless	2	RVBD_0002:RVBD_0003	1935	2185	2368	3824	1457	selected	345.44	0.32
TU_3	3850	5178	1328	+	4434	4997	NS	non_leaderless	1	RVBD_0004	3850	4089	4220	4997	778	selected	94.82	0.51
TU_4	5183	11258	6075	+	5240	11187	ES	non_leaderless	5	RVBD_0005:RVBD_0006:RVBD_0007:RVBD_6000:RVBD_6001	5183	5433	5707	11187	5481	selected	1033.05	0.35
TU_5	11257	12366	1109	-	11874	12311	NS	non_leaderless	1	RVBD_0008c	12366	11955	11954	11257	698	selected	53.23	0.57
TU_7	13026	14085	1059	-	13133	13995	NS	non_leaderless	2	RVBD_0010c:RVBD_0011c	14085	13701	13700	13133	568	selected	257.82	0.51
TU_8	14067	14904	837	+	14089	14877	NS	leaderless_TSS	1	RVBD_0012	14067	14317	14562	14877	316	selected	242.64	0.52
TU_10	15622	17534	1912	-	15590	17470	ES	non_leaderless	1	RVBD_0014c	17534	17285	17284	15590	1695	selected	85.03	1.19
TU_11	17544	19032	1488	-	17467	18762	ES	non_leaderless	1	RVBD_0015c	19032	18616	18615	17544	1072	selected	552.29	0.23
TU_12	19042	23370	4328	-	18759	23181	ES	non_leaderless	3	RVBD_0016c:RVBD_0017c:RVBD_0018c	23370	22908	22907	21416	1492	selected	441.7	0.24
TU_13	23380	25515	2135	-	23270	25444	ES	non_leaderless	2	RVBD_0019c:RVBD_0020c	25515	25030	25029	23380	1650	selected	644.1	0.82
TU_15	25758	26921	1163	-	25913	26881	NS	non_leaderless	1	RVBD_0021c	26921	26548	26547	26191	357	selected	48.56	0.28
TU_17	27579	29235	1656	+	27595	29207	ES	non_leaderless	2	RVBD_0023:RVBD_0024	27579	27750	27951	29207	1257	selected	55.07	0.62
TU_18	29245	31073	1828	+	29245	31068	NS	leaderless_TSS	2	RVBD_0025:RVBD_0026	29245	29507	29919	31068	1150	selected	83.51	0.28
TU_19	31078	32047	969	+	31189	31819	NS	non_leaderless	2	RVBD_0027:RVBD_0028	31078	31312	31627	31819	193	selected	76.03	0.53
TU_20	32057	33217	1160	+	32057	33154	NS	leaderless_TSS	1	RVBD_0029	32057	32345	32419	33154	736	selected	184.78	0.23
TU_22	33940	35706	1766	+	34295	36610	NS	non_leaderless	1	RVBD_0032	33940	34197	34333	35706	1374	selected	21.11	0.42
TU_23	35716	39046	3330	+	36607	38947	NS	non_leaderless	3	RVBD_0033:RVBD_0034:RVBD_0035	35716	35975	36108	38947	2840	selected	57.69	0.14
TU_24	38957	39867	910	-	39056	39829	NS	non_leaderless	1	RVBD_0036c	39867	39494	39493	39056	438	selected	199.97	0.73
TU_25	39877	41234	1357	-	39877	41202	NS	non_leaderless	1	RVBD_0037c	41234	40896	40895	39877	1019	selected	300.99	0.31
TU_28	42361	43413	1052	-	42433	43365	NS	non_leaderless	1	RVBD_0040c	43413	43081	43080	42433	648	selected	233.25	0.34
TU_29	43562	46569	3007	+	43562	46471	ES	leaderless_TSS	1	RVBD_0041	43672	43951	44012	45650	1639	selected	96.89	0.58
TU_30	46481	48141	1660	-	46581	48100	NS	non_leaderless	2	RVBD_0042c:RVBD_0043c	48141	47693	47692	47094	599	selected	90.98	0.29
TU_31	48151	49027	876	-	48233	49027	NS	leaderless_TSS	1	RVBD_0044c	49027	48597	48596	48233	364	selected	46.73	0.98
TU_32	49037	51782	2745	-	49043	51727	ES	non_leaderless	3	RVBD_0045c:RVBD_0046c:RVBD_0047c	51782	51338	51337	49043	2295	selected	2004.96	0.2
TU_33	51792	52701	909	-	51828	52697	NS	non_leaderless	1	RVBD_0048c	52701	52294	52293	51828	466	selected	80.64	0.35
TU_34	52810	58109	5299	+	52831	57970	NS	non_leaderless	4	RVBD_0049:RVBD_0050:RVBD_0051:RVBD_0052	52810	53060	53230	57970	4741	selected	367.16	0.29
TU_35	58114	60272	2158	+	58189	60414	ES	non_leaderless	5	RVBD_0053:RVBD_0054:RVBD_0055:RVBD_0056:RVBD_0057	58114	58405	58612	60272	1661	selected	1431.12	0.44
TU_36	60282	63891	3609	+	60393	63889	ES	non_leaderless	2	RVBD_0058:RVBD_0059	60282	60532	60656	63859	3204	selected	398.6	0.26
TU_37	63869	64999	1130	+	63906	64964	ES	non_leaderless	1	RVBD_0060	63869	64119	64369	64964	596	selected	138.85	0.66
TU_39	65549	68412	2863	+	65549	68359	NS	non_leaderless	2	RVBD_0062:RVBD_0063	65675	65970	66115	68359	2245	selected	400.24	0.17
TU_40	68417	72261	3844	+	68617	72219	NS	non_leaderless	3	RVBD_0064:RVBD_0064A:RVBD_0065	68417	68650	68776	72219	3444	selected	563.29	0.19
TU_41	72229	74565	2336	-	72271	74508	NS	non_leaderless	1	RVBD_0066c	74565	74047	74046	72271	1776	selected	79.14	0.52
TU_42	74575	75277	702	-	74626	75195	NS	non_leaderless	1	RVBD_0067c	75277	74866	74865	74626	240	selected	25.84	0.35
TU_43	75298	76224	926	+	75298	76209	NS	non_leaderless	1	RVBD_0068	75252	75502	75820	76209	390	selected	8.73	0.96
TU_44	76219	79310	3091	-	76234	78893	NS	non_leaderless	2	RVBD_0069c:RVBD_0070c	79310	79001	79000	76234	2767	selected	602.49	0.04
TU_45	79483	80232	749	+	79483	80190	NS	non_leaderless	1	RVBD_0071	79483	79733	80116	80232	117	selected	9.87	0.53
TU_46	80621	83992	3371	+	80621	83980	NS	leaderless_TSS	3	RVBD_0072:RVBD_0073:RVBD_0074	80621	80878	81040	83980	2941	selected	238.94	0.46
TU_47	84002	85170	1168	+	83993	85165	NS	non_leaderless	1	RVBD_0075	84002	84252	84359	85110	752	selected	76.91	0.43
TU_49	85570	86499	929	-	85633	86463	NS	non_leaderless	1	RVBD_0077c	86499	86080	86079	85633	447	selected	39.25	0.18
TU_50	86459	87195	736	+	86525	87130	NS	non_leaderless	1	RVBD_0078	86459	86709	86834	87130	297	selected	85.83	0.4
TU_51	87140	88001	861	-	87205	88001	NS	leaderless_TSS	2	RVBD_0078A:RVBD_0078B	88001	87638	87637	87205	433	selected	810.33	0.19
TU_52	88164	89530	1366	+	88201	89477	NS	non_leaderless	2	RVBD_0079:RVBD_0080	88164	88414	88544	89477	934	selected	3467.3	0.23
TU_53	89535	92193	2658	+	89572	92319	NS	non_leaderless	3	RVBD_0081:RVBD_0082:RVBD_0083	89535	89785	89942	92193	2252	selected	643.59	0.23
TU_54	92203	99614	7411	+	92325	99247	NS	non_leaderless	7	RVBD_0084:RVBD_0085:RVBD_0086:RVBD_0087:RVBD_0088:RVBD_0089:RVBD_0090	92203	92431	92513	96968	4456	selected	433.37	0.21
TU_55	99619	102802	3183	+	99681	102865	NS	non_leaderless	2	RVBD_0091:RVBD_0092	99619	99869	99910	101081	1172	selected	92.18	0.38
TU_56	102875	105212	2337	-	102812	105212	NS	non_leaderless	3	RVBD_0093c:RVBD_0094c:RVBD_0095c	105099	104694	104693	103532	1162	selected	15.01	0.24
TU_57	105321	117701	12380	+	105321	117536	NS	non_leaderless	6	RVBD_0096:RVBD_0097:RVBD_0098:RVBD_0099:RVBD_0100:RVBD_0101	105264	105514	105514	108284	2771	selected	8.47	0.61
TU_58	117711	119902	2191	+	117711	119696	ES	leaderless_TSS	1	RVBD_0102	117711	117930	118076	119696	1621	selected	134.45	0.36
TU_59	119729	122196	2467	-	119912	122170	NS	non_leaderless	1	RVBD_0103c	122196	121773	121772	119912	1861	selected	181.86	0.3
TU_60	122314	123967	1653	+	122314	123828	NS	leaderless_TSS	1	RVBD_0104	122314	122564	122564	123612	1049	selected	0.71	2.97
TU_62	124336	125630	1294	+	124371	125567	NS	non_leaderless	1	RVBD_0106	124336	124586	125112	125567	456	selected	16.95	0.55
TU_63	125577	131125	5548	-	125640	131101	NS	non_leaderless	2	RVBD_0107c:RVBD_0108c	131125	130737	130736	125640	5097	selected	1653.04	0.04
TU_64	131338	132908	1570	+	131380	132870	NS	non_leaderless	1	RVBD_0109	131338	131588	131641	132870	1230	selected	70.84	0.19
TU_65	132913	133838	925	+	133018	133767	NS	non_leaderless	1	RVBD_0110	132913	133157	133342	133767	426	selected	53.22	0.41
TU_66	133843	136136	2293	+	133948	136005	NS	non_leaderless	1	RVBD_0111	133843	134093	134195	136005	1811	selected	162.75	0.17
TU_67	136141	139700	3559	+	136287	139671	NS	non_leaderless	4	RVBD_0112:RVBD_0113:RVBD_0114:RVBD_0115	136141	136391	136628	139671	3044	selected	197.7	0.29
TU_68	140109	141052	943	-	140265	141020	NS	non_leaderless	1	RVBD_0116c	141052	140678	140677	140265	413	selected	344.69	0.17
TU_69	141198	142116	918	+	141198	142142	NS	non_leaderless	1	RVBD_0117	141170	141419	141420	142142	723	selected	44.28	0.51
TU_70	142152	143874	1722	-	142126	143874	NS	leaderless_TSS	1	RVBD_0118c	143874	143527	143526	142126	1401	selected	12	0.79
TU_71	144005	145615	1610	+	144047	145624	NS	non_leaderless	1	RVBD_0119	144005	144215	144335	145624	1290	selected	40.98	0.45
TU_72	145634	147831	2197	-	145625	147769	NS	non_leaderless	1	RVBD_0120c	147831	147359	147358	146316	1043	selected	34.55	0.64
TU_74	148489	151068	2579	+	148489	150994	NS	non_leaderless	3	RVBD_0122:RVBD_0123:RVBD_0124	148633	148883	149415	150994	1580	selected	57.38	0.31
TU_75	151073	154693	3620	+	151146	155597	NS	non_leaderless	3	RVBD_0125:RVBD_0126:RVBD_0127	151073	151323	151544	154693	3150	selected	146.72	0.58
TU_76	154703	156566	1863	+	155665	156444	NS	leaderless_TSS	1	RVBD_0128	154703	154947	155020	155655	636	selected	124.87	0.48
TU_77	156454	157655	1201	-	156576	157598	NS	non_leaderless	1	RVBD_0129c	157655	157166	157165	156576	590	selected	785.85	0.74
TU_79	158310	159668	1358	-	158313	159656	NS	non_leaderless	1	RVBD_0131c	159668	159313	159312	158313	1000	selected	96.48	0.28
TU_80	159678	160780	1102	-	159698	160780	NS	non_leaderless	1	RVBD_0132c	160814	160438	160437	159698	740	selected	15.06	0.41
TU_81	160867	161714	847	+	160867	161472	NS	leaderless_TSS	1	RVBD_0133	160867	161106	161204	161383	180	selected	177.29	0.46
TU_82	161766	162632	866	+	161769	162671	NS	leaderless_TSS	1	RVBD_0134	161766	162061	162199	162671	473	selected	380.88	0.58
TU_84	163306	164700	1394	+	163364	164689	NS	non_leaderless	1	RVBD_0136	163306	163556	163798	164689	892	selected	50.16	1.12
TU_86	165292	166898	1606	+	165321	166847	NS	non_leaderless	2	RVBD_0138:RVBD_0139	165292	165541	165617	166052	436	selected	52.37	0.47
TU_89	167570	168692	1122	+	167709	168635	NS	non_leaderless	1	RVBD_0142	167570	167825	167958	168635	678	selected	119.5	0.12
TU_90	168645	170180	1535	-	168702	170180	NS	non_leaderless	1	RVBD_0143c	170126	169727	169726	169351	376	selected	76.17	0.45
TU_91	170282	171203	921	+	170282	171124	NS	non_leaderless	1	RVBD_0144	170483	170754	170974	171124	151	selected	521.6	0.74
TU_92	171213	173224	2011	+	171213	173141	NS	leaderless_TSS	2	RVBD_0145:RVBD_0146	171213	171502	171649	173141	1493	selected	1085.35	0.24
TU_93	173229	176653	3424	+	173236	176666	NS	non_leaderless	3	RVBD_0147:RVBD_0148:RVBD_0149	173229	173503	173641	176666	3026	selected	237.75	0.81
TU_94	176676	177596	920	-	176663	176950	NS	non_leaderless	1	RVBD_0150c	177596	177220	177219	176663	557	selected	66.81	0.16
TU_95	177211	183208	5997	-	177541	183196	NS	non_leaderless	4	RVBD_0151c:RVBD_0152c:RVBD_0153c:RVBD_0154c	183208	182823	182822	177606	5217	selected	65.64	0.28
TU_96	183579	186483	2904	+	183620	186477	NS	non_leaderless	3	RVBD_0155:RVBD_0156:RVBD_0157	183579	183861	183997	186477	2481	selected	112.23	0.68
TU_98	186718	187421	703	+	186783	187427	NS	non_leaderless	1	RVBD_0158	186718	186983	187202	187427	226	selected	82.94	0.98
TU_99	187437	188862	1425	-	187431	188837	NS	non_leaderless	1	RVBD_0159c	188862	188506	188505	187431	1075	selected	42.3	0.27
TU_100	188872	190437	1565	-	188929	190437	NS	non_leaderless	1	RVBD_0160c	190512	190090	190089	188929	1161	selected	23	0.06
TU_101	190605	191972	1367	+	190605	191954	NS	leaderless_TSS	1	RVBD_0161	190605	191139	191140	191954	815	selected	10.3	1.02
TU_102	191964	193133	1169	-	191982	193133	NS	non_leaderless	1	RVBD_0162c	193101	192493	192492	191982	511	selected	22.13	0.52
TU_105	194119	194929	810	-	194142	194813	NS	non_leaderless	1	RVBD_0165c	194929	194579	194578	194142	437	selected	66.88	0.24
TU_106	194916	196681	1765	+	194991	196655	NS	non_leaderless	1	RVBD_0166	194916	195197	195336	196451	1116	selected	167.14	0.3
TU_107	196733	206637	9904	+	196859	206776	NS	non_leaderless	8	RVBD_0167:RVBD_0168:RVBD_0169:RVBD_0170:RVBD_0171:RVBD_0172:RVBD_0173:RVBD_0174	196733	197005	197162	206051	8890	selected	254.44	0.25
TU_108	206647	208316	1669	+	206812	208418	NS	non_leaderless	2	RVBD_0175:RVBD_0176	206647	206934	207036	208316	1281	selected	1946.4	0.16
TU_109	208326	209691	1365	+	208415	209670	NS	non_leaderless	2	RVBD_0177:RVBD_0178	208326	208523	209076	209670	595	selected	394.39	0.76
