genome_position	direction	TSS_intensity	Initiated_opeoron_or_not	location_in_genes	New_tss_intensity	fold_change	upstream_tss_coverage	downstream_tss_coverage	
1935	+	404	operon_start_site	gap_sense	274	4.39	760	3343	TSS
3850	+	146	operon_start_site	gene_sense	109	2.49	707	1762	TSS
5183	+	1442	operon_start_site	gap_sense	1004	11.28	908	10251	TSS
12366	-	66	operon_start_site	gap_sense	40	2.14	330	709	TSS
12486	+	1532	operon_start_site	gene_sense	1393	12.7	1094	13905	TSS
14067	+	338	operon_start_site	gap_sense	303	13.77	219	3030	TSS
14085	-	404	operon_start_site	gap_sense	480	91.29	48	4473	TSS
14914	+	261	operon_start_site	gene_sense_leadless	250	5.91	492	2913	TSS
17534	-	75	operon_start_site	gene_sense	86	8.85	98	876	TSS
19032	-	724	operon_start_site	gene_sense	688	10.91	620	6774	TSS
23370	-	120	operon_start_site	gene_sense	163	2.99	727	2174	TSS
25515	-	1097	operon_start_site	gap_sense	837	12.08	689	8338	TSS
25628	+	537	operon_start_site	gap_sense	626	51.8	128	6682	TSS
26921	-	69	operon_start_site	gap_sense	58	32.81	15	525	TSS
27579	+	89	operon_start_site	gap_sense	70	20.44	33	695	TSS
29245	+	139	operon_start_site	gene_sense_leadless	115	3.34	454	1521	TSS
31078	+	218	operon_start_site	gap_sense	100	21.26	46	999	TSS
32057	+	218	operon_start_site	gene_sense_leadless	161	46.49	34	1627	TSS
33227	+	296	operon_start_site	gene_sense_leadless	212	14.1	150	2129	TSS
33940	+	51	operon_start_site	gap_sense	35	12.54	27	351	TSS
35716	+	79	operon_start_site	gene_sense	86	14.11	63	903	TSS
39867	-	307	operon_start_site	gap_sense	249	7.43	360	2683	TSS
41234	-	279	operon_start_site	gap_sense	310	6.8	326	2222	TSS
41307	+	720	operon_start_site	gene_sense_leadless	423	44.07	95	4231	TSS
42351	-	322	operon_start_site	gene_sense_leadless	305	13.12	220	2900	TSS
43413	-	441	operon_start_site	gap_sense	340	3.87	730	2830	TSS
43672	+	232	operon_start_site	gene_sense	62	1.27	2216	2823	 
48141	-	59	operon_start_site	gap_sense	61	5.48	125	690	TSS
49027	-	76	operon_start_site	gene_sense_leadless	85	4.58	214	984	TSS
51782	-	3726	operon_start_site	gap_sense	3740	50.93	670	34174	TSS
52701	-	130	operon_start_site	gap_sense	103	4.37	213	935	TSS
52810	+	834	operon_start_site	gap_sense	695	12.37	572	7086	TSS
58114	+	3131	operon_start_site	gap_sense	2848	111.65	254	28471	TSS
60282	+	434	operon_start_site	gene_sense	236	2.25	1685	3789	TSS
63869	+	203	operon_start_site	gene_sense	107	6.43	179	1158	TSS
65539	-	3046	operon_start_site	gap_sense	2695	1522.91	10	16752	TSS
65675	+	356	operon_start_site	gene_sense	757	126.85	58	7484	TSS
68417	+	776	operon_start_site	gap_sense	582	43.22	133	5792	TSS
74565	-	421	operon_start_site	gap_sense	104	7.01	156	1101	TSS
75252	+	80	operon_start_site	gap_sense	17	2.5	91	230	TSS
75277	-	58	operon_start_site	gap_sense	38	6.97	30	216	TSS
79310	-	1611	operon_start_site	gap_sense	1287	30.03	408	12282	TSS
80621	+	342	operon_start_site	gene_sense_leadless	275	3.38	1147	3875	TSS
85560	-	105	operon_start_site	gene_sense	95	18.49	50	943	TSS
86459	+	93	operon_start_site	gene_antisense	128	7.09	191	1361	TSS
86499	-	147	operon_start_site	gap_sense	49	30.8	14	462	TSS
88001	-	3308	operon_start_site	gene_sense_leadless	2008	284.41	65	18771	TSS
88164	+	3264	operon_start_site	gap_sense	6425	20.41	3123	63748	TSS
89535	+	390	operon_start_site	gap_sense	458	4.86	1054	5126	TSS
92203	+	507	operon_start_site	gene_sense	496	112.19	42	4824	TSS
96978	+	213	operon_start_site	gene_sense	157	7.41	235	1748	TSS
99619	+	101	operon_start_site	gap_sense	95	1.99	882	1759	TSS
105264	+	31	operon_start_site	gap_sense	2	1.33	50	68	 
108294	+	227	operon_start_site	gene_sense	80	9.96	83	837	TSS
117711	+	265	operon_start_site	gene_sense_leadless	183	7.54	262	1982	TSS
122314	+	36	operon_start_site	gene_sense_leadless	1	1.21	32	40	 
123207	-	506	operon_start_site	gene_antisense	483	14.11	346	4896	TSS
124312	-	139	operon_start_site	gap_sense	5	3.18	21	70	 
124336	+	463	operon_start_site	gap_sense	36	8.43	43	371	TSS
131125	-	4222	operon_start_site	gap_sense	4413	269.27	154	41737	TSS
131338	+	65	operon_start_site	gap_sense	81	5.03	177	896	TSS
132913	+	135	operon_start_site	gap_sense	82	6.45	139	903	TSS
133843	+	188	operon_start_site	gap_sense	216	15.9	131	2099	TSS
136141	+	137	operon_start_site	gap_sense	107	4.79	256	1230	TSS
141052	-	466	operon_start_site	gap_sense	379	107.82	32	3558	TSS
141170	+	54	operon_start_site	gap_sense	44	1.75	558	976	TSS
143874	-	105	operon_start_site	gene_sense_leadless	33	24	12	312	TSS
144005	+	77	operon_start_site	gap_sense	56	2.13	466	996	TSS
147831	-	124	operon_start_site	gap_sense	15	1.9	128	245	TSS
148344	-	74	operon_start_site	gap_sense	52	296	0	296	TSS
151073	+	285	operon_start_site	gap_sense	205	165.69	12	2154	TSS
154703	+	222	operon_start_site	gene_sense	133	6.85	217	1493	TSS
157655	-	2106	operon_start_site	gap_sense	1391	443.62	20	9316	TSS
157828	+	151	operon_start_site	gap_sense	83	4.73	231	1098	TSS
159668	-	186	operon_start_site	gap_sense	156	160	8	1440	TSS
